5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"5.1 Risk of Thyroid C-cell Tumors         In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure [see Nonclinical Toxicology (  13.1  )]  .",) ] is not a named entity
"5.1 Risk of Thyroid C-cell Tumors         In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure [see Nonclinical Toxicology (  13.1  )]  .",and is not a named entity
"5.1 Risk of Thyroid C-cell Tumors         In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure [see Nonclinical Toxicology (  13.1  )]  .",thyroid C-cell adenomas is an adverse reaction entity
"5.1 Risk of Thyroid C-cell Tumors         In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure [see Nonclinical Toxicology (  13.1  )]  .",thyroid C-cell carcinomas is an adverse reaction entity
"5.1 Risk of Thyroid C-cell Tumors         In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure [see Nonclinical Toxicology (  13.1  )]  .",male is not a named entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",upper is not a named entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",pain is not a named entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.","lower , is not a named entity"
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",gastrointestinal pain is an adverse reaction entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",abdominal pain upper is an adverse reaction entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",abdominal tenderness is an adverse reaction entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",abdominal discomfort is an adverse reaction entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",c Includes abdominal is not a named entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",abdominal pain lower is an adverse reaction entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",pain is not a named entity
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",", is not a named entity"
"c Includes abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, abdominal tenderness, gastrointestinal pain.",abdominal pain is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",Systemic hypersensitivity is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",lip swelling is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",( e.g. is not a named entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",urticaria is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",systemic rash is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",facial edema is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",severe is not a named entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",swelling ) is not a named entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",Systemic hypersensitivity is an adverse reaction entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",", facial edema is not a named entity"
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",reactions sometimes is not a named entity
"Hypersensitivity       Systemic hypersensitivity adverse reactions sometimes severe (e.g., severe urticaria, systemic rash, facial edema, lip swelling) occurred in 0.5% of patients on TRULICITY in the four Phase 2 and five Phase 3 studies.",2 and five is not a named entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Thyroid C-cell Tumors: See Boxed Warning (  5.1  ).,Thyroid C-cell Tumors is an adverse reaction entity
5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Thyroid C-cell Tumors: See Boxed Warning (  5.1  ).,Boxed Warning is not a named entity
"Investigators graded the severity of gastrointestinal adverse reactions occurring on 0.75 mg and 1.5 mg of TRULICITY as ""mild"" in 58% and 48% of cases, respectively, ""moderate"" in 35% and 42% of cases, respectively, or ""severe"" in 7% and 11% of cases, respectively.",gastrointestinal adverse reactions is an adverse reaction entity
"Investigators graded the severity of gastrointestinal adverse reactions occurring on 0.75 mg and 1.5 mg of TRULICITY as ""mild"" in 58% and 48% of cases, respectively, ""moderate"" in 35% and 42% of cases, respectively, or ""severe"" in 7% and 11% of cases, respectively.",of is not a named entity
